Date,Close/Last,Volume,Open,High,Low
9/1/2026,$23.23 ,25367190,$23.60 ,$23.97 ,$23.08 
8/31/2026,$23.89 ,31285980,$24.50 ,$24.56 ,$23.89 
8/28/2026,$24.76 ,19187980,$25.20 ,$25.48 ,$24.69 
8/27/2026,$24.95 ,15695910,$25.40 ,$25.60 ,$24.91 
8/26/2026,$25.59 ,16190600,$26.21 ,$26.46 ,$25.54 
8/25/2026,$26.14 ,19139410,$26.20 ,$26.29 ,$25.71 
8/24/2026,$25.71 ,20293550,$26.04 ,$26.42 ,$25.55 
8/21/2026,$25.73 ,17040780,$25.64 ,$25.87 ,$25.46 
8/20/2026,$25.37 ,26822550,$26.20 ,$26.28 ,$25.19 
8/19/2026,$26.69 ,16238360,$27.58 ,$27.61 ,$26.63 
8/18/2026,$27.27 ,11002140,$27.40 ,$27.66 ,$27.22 
8/17/2026,$27.73 ,13671990,$27.98 ,$28.10 ,$27.55 
8/14/2026,$28.12 ,15049750,$28.40 ,$28.79 ,$28.10 
8/13/2026,$28.42 ,13679910,$28.17 ,$28.60 ,$27.95 
8/12/2026,$27.67 ,10926680,$27.92 ,$28.11 ,$27.48 
8/11/2026,$27.73 ,13927080,$27.99 ,$28.43 ,$27.55 
8/10/2026,$27.75 ,24288000,$28.30 ,$28.49 ,$27.70 
8/7/2026,$28.99 ,13379980,$29.27 ,$29.27 ,$28.32 
8/6/2026,$28.79 ,13941180,$29.40 ,$29.56 ,$28.77 
8/5/2026,$29.67 ,17042350,$29.76 ,$30.22 ,$29.63 
8/4/2026,$29.59 ,22467230,$29.32 ,$29.91 ,$29.29 
8/3/2026,$28.74 ,16774200,$28.47 ,$29.09 ,$28.23 
7/31/2026,$27.81 ,17275090,$27.90 ,$27.99 ,$27.28 
7/30/2026,$27.77 ,23658320,$27.67 ,$27.94 ,$27.16 
7/29/2026,$27.81 ,20271350,$27.48 ,$28.39 ,$27.33 
7/28/2026,$28.23 ,27080980,$27.09 ,$28.32 ,$26.91 
7/27/2026,$27.12 ,21121030,$27.20 ,$27.49 ,$26.67 
7/24/2026,$26.33 ,23020510,$25.65 ,$27.02 ,$25.58 
7/23/2026,$25.27 ,24933020,$25.27 ,$25.74 ,$25.10 
7/22/2026,$26.10 ,15859790,$25.98 ,$26.49 ,$25.74 
7/21/2026,$26.16 ,16029500,$26.10 ,$26.33 ,$25.82 
7/20/2026,$26.04 ,17759080,$26.61 ,$26.77 ,$25.82 
7/17/2026,$26.41 ,16843690,$26.01 ,$26.66 ,$25.86 
7/16/2026,$26.86 ,13947450,$26.49 ,$26.86 ,$26.26 
7/15/2026,$26.59 ,19347410,$26.63 ,$27.23 ,$26.38 
7/14/2026,$26.50 ,14215570,$26.50 ,$26.92 ,$26.26 
7/13/2026,$26.61 ,16290000,$26.51 ,$27.30 ,$26.34 
7/10/2026,$26.83 ,12441520,$26.87 ,$27.18 ,$26.40 
7/9/2026,$26.72 ,16732520,$25.97 ,$27.04 ,$25.81 
7/8/2026,$25.64 ,27594130,$26.10 ,$26.11 ,$25.27 
7/7/2026,$26.68 ,18242450,$27.34 ,$27.57 ,$26.46 
7/6/2026,$27.51 ,15018420,$28.00 ,$28.26 ,$27.39 
7/2/2026,$27.91 ,19204730,$28.91 ,$29.15 ,$27.46 
7/1/2026,$28.52 ,18553930,$28.60 ,$29.43 ,$28.48 
6/30/2026,$28.57 ,17824890,$28.94 ,$29.12 ,$28.26 
6/29/2026,$29.19 ,19283530,$29.19 ,$29.64 ,$29.03 
6/26/2026,$29.07 ,32186440,$28.20 ,$29.13 ,$28.13 
6/25/2026,$28.46 ,29398710,$29.31 ,$29.89 ,$28.13 
6/24/2026,$28.91 ,31566160,$29.31 ,$30.00 ,$28.79 
6/23/2026,$28.72 ,40341610,$27.40 ,$28.89 ,$27.00 
6/22/2026,$30.19 ,31566330,$30.76 ,$30.99 ,$29.87 
6/18/2026,$30.87 ,31480640,$31.18 ,$31.30 ,$30.68 
6/17/2026,$29.91 ,24845430,$31.09 ,$31.60 ,$29.86 
6/16/2026,$30.90 ,24486200,$30.51 ,$31.05 ,$30.22 
6/15/2026,$30.12 ,37900560,$30.41 ,$31.15 ,$29.99 
6/12/2026,$29.18 ,29553310,$28.74 ,$29.20 ,$27.93 
6/11/2026,$28.12 ,30013290,$25.67 ,$28.17 ,$25.65 
6/10/2026,$25.99 ,24295100,$27.30 ,$27.45 ,$25.77 
6/9/2026,$27.73 ,30367970,$27.53 ,$28.21 ,$26.80 
6/8/2026,$27.01 ,15923990,$27.18 ,$27.39 ,$26.94 
6/5/2026,$27.41 ,15915130,$27.64 ,$28.09 ,$27.02 
6/4/2026,$27.85 ,17917520,$27.64 ,$27.95 ,$27.12 
6/3/2026,$27.17 ,18208920,$27.25 ,$27.81 ,$27.01 
6/2/2026,$27.64 ,18117240,$27.40 ,$27.66 ,$27.10 
6/1/2026,$27.51 ,23438140,$27.51 ,$28.09 ,$27.02 
5/29/2026,$28.06 ,36971110,$28.08 ,$28.40 ,$27.76 
5/28/2026,$27.94 ,20159110,$27.34 ,$28.28 ,$27.24 
5/27/2026,$27.98 ,32843580,$27.48 ,$28.29 ,$27.36 
5/26/2026,$26.71 ,24977730,$26.82 ,$27.09 ,$26.50 
5/22/2026,$25.98 ,17161640,$26.30 ,$26.50 ,$25.82 
5/21/2026,$26.18 ,34181790,$25.44 ,$26.49 ,$24.91 
5/20/2026,$26.03 ,49192640,$24.00 ,$26.34 ,$23.45 
5/19/2026,$23.89 ,29209240,$24.65 ,$24.71 ,$23.67 
5/18/2026,$24.91 ,27417400,$24.88 ,$25.33 ,$24.65 
5/15/2026,$24.64 ,22806380,$24.87 ,$25.14 ,$24.58 
5/14/2026,$25.20 ,22758000,$25.75 ,$26.04 ,$25.19 
5/13/2026,$25.03 ,23074140,$24.73 ,$25.20 ,$24.41 
5/12/2026,$24.85 ,30772000,$25.39 ,$25.46 ,$24.74 
5/11/2026,$25.44 ,37239600,$25.86 ,$26.01 ,$24.99 
5/8/2026,$26.38 ,29526400,$27.20 ,$27.29 ,$26.25 
5/7/2026,$27.00 ,26335110,$27.62 ,$28.05 ,$26.75 
5/6/2026,$27.52 ,50805340,$27.30 ,$27.62 ,$26.79 
5/5/2026,$25.77 ,80404400,$25.74 ,$26.29 ,$25.67 
5/4/2026,$25.67 ,31850860,$26.12 ,$26.77 ,$25.25 
5/1/2026,$26.66 ,21981180,$26.63 ,$27.31 ,$26.08 
4/30/2026,$26.51 ,28026870,$26.49 ,$27.37 ,$26.18 
4/29/2026,$25.58 ,26210390,$26.01 ,$26.02 ,$25.34 
4/28/2026,$26.30 ,15692240,$26.24 ,$26.62 ,$26.12 
4/27/2026,$26.77 ,18879770,$26.73 ,$27.05 ,$26.45 
4/24/2026,$27.17 ,17360530,$26.75 ,$27.30 ,$26.53 
